sku,name,img,type,id
FB : FB-CBL,Circle Blue,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/CBL_SWATCH_100px.jpg,Glitter Circle Inserts,1
FB : FB-CGD,Circle Gold,,Glitter Circle Inserts,2
FB : FB-CGN,Circle Green,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/CGN_SWATCH_100px.jpg,Glitter Circle Inserts,3
FB : FB-CHT,Cheetah,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/FB-CHT_SWATCH_100px.jpg,Animal Print Inserts,4
FB : FB-CPK,Circle Pink,,Glitter Circle Inserts,5
FB : FB-CSL,Circle Silver,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/CSL_SWATCH_100px.jpg,Glitter Circle Inserts,6
FB : FB-CSLBK,Circle Silver/Black,,Glitter Circle Inserts,7
FB : FB-CW,Cow,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/FB-CW_SWATCH_100px.jpg,Animal Print Inserts,8
FB : FB-DBK,Disco Black,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DBK_SWATCH.jpg,Disco Glitter Inserts,9
FB : FB-DBL,Disco Blue,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DBL_SWATCH.jpg,Disco Glitter Inserts,10
FB : FB-DG,Disco Gold,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DGD_SWATCH.jpg,Disco Glitter Inserts,11
FB : FB-DGN,Disco Green,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DGN_SWATCH.jpg,Disco Glitter Inserts,12
FB : FB-DPU,Disco Purple,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DPU_SWATCH.jpg,Disco Glitter Inserts,13
FB : FB-DRD,Disco Red,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DRD_SWATCH.jpg,Disco Glitter Inserts,14
FB : FB-DSL,Disco Silver,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/DSL_SWATCH.jpg,Disco Glitter Inserts,15
FB : FB-GF,Giraffe,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/FB-GF_SWATCH_100px.jpg,Animal Print Inserts,16
FB : FB-IBK,Ice Black,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Black_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,17
FB : FB-IBL,Ice Blue,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Blue_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,18
FB : FB-IBN,Ice Brown,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Brown_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,19
FB : FB-IBZ,Ice Bronze,,Ice Glitter Inserts,20
FB : FB-IG,Ice Green,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Green_Ice_Glitter_Swatch_300px.jpg,Ice Glitter Inserts,21
FB : FB-IGD,Ice Gold,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Gold_Ice_Glitter_Swatch_300px.jpg,Ice Glitter Inserts,22
FB : FB-IPK,Ice Pink,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Pink_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,23
FB : FB-IPU,Ice Purple,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Purple_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,24
FB : FB-IRD,Ice Red,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Red_ICE_Glitter_Swatch_300px.jpg,Ice Glitter Inserts,25
FB : FB-ISL,Ice Silver,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/Silver_Ice_Glitter_Swatch_100px.jpg,Ice Glitter Inserts,26
FB : FB-PBL,Pastel Blue,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/PBL_SWATCH_100px.jpg,Pastel Glitter Inserts,27
FB : FB-PGD,Pastel Gold,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/PGD_SWATCH_100px.jpg,Pastel Glitter Inserts,28
FB : FB-PGN,Pastel Green,,Pastel Glitter Inserts,29
FB : FB-PPC,Pastel Peach,,Pastel Glitter Inserts,30
FB : FB-PPK,Pastel Pink,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/PPK_SWATCH_100px.jpg,Pastel Glitter Inserts,31
FB : FB-PSL,Pastel Silver,,Pastel Glitter Inserts,32
FB : FB-TG,Tiger,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/FB_TG_SWATCH_100px.jpg,Animal Print Inserts,33
FB : FB-UBL,Ultra Blue,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UBL_SWATCH_100px.jpg,Ultra Glitter Inserts,34
FB : FB-UFS,Ultra Fuchsia,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UFU_SWATCH_100px.jpg,Ultra Glitter Inserts,35
FB : FB-UGD,Ultra Gold,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UGD_SWATCH_100px.jpg,Ultra Glitter Inserts,36
FB : FB-UGN,Ultra Green,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UGN_SWATCH_100px.jpg,Ultra Glitter Inserts,37
FB : FB-UPK,Ultra Pink,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UPK_SWATCH_100px.jpg,Ultra Glitter Inserts,38
FB : FB-UPU,Ultra Purple,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/UPU_SWATCH_100px.jpg,Ultra Glitter Inserts,39
FB : FB-URD,Ultra Red,http://www.gordonsinclair.com/site/images/DRINKWARE_600x600/Glitter_Insert/URD_SWATCH_100px.jpg,Ultra Glitter Inserts,40
