sku,currency,price_level,min_quantity,unit_price,id
FB,USA,EQP,0,0.8,1
FB,USA,EQP,1,0.8,2
FB,USA,Net Price,0,0.8,3
FB,USA,Net Price,1,0.8,4
FB,USA,Online Price,0,1,5
FB,USA,Online Price,1,1,6
FB : FB-F,USA,EQP,0,1.2,7
FB : FB-F,USA,EQP,1,1.2,8
FB : FB-F,USA,Net Price,0,1.2,9
FB : FB-F,USA,Net Price,1,1.2,10
FB : FB-F,USA,Online Price,0,1.5,11
FB : FB-F,USA,Online Price,1,1.5,12
FB : FB-BP,USA,EQP,0,1.2,13
FB : FB-BP,USA,EQP,1,1.2,14
FB : FB-BP,USA,Net Price,0,1.2,15
FB : FB-BP,USA,Net Price,1,1.2,16
FB : FB-BP,USA,Online Price,0,1.5,17
FB : FB-BP,USA,Online Price,1,1.5,18
FB : FB-CHT,USA,EQP,0,1,19
FB : FB-CHT,USA,EQP,1,1,20
FB : FB-CHT,USA,Net Price,0,1,21
FB : FB-CHT,USA,Net Price,1,1,22
FB : FB-CHT,USA,Online Price,0,1.25,23
FB : FB-CHT,USA,Online Price,1,1.25,24
FB : FB-CBL,USA,EQP,0,0.8,25
FB : FB-CBL,USA,EQP,1,0.8,26
FB : FB-CBL,USA,Net Price,0,0.8,27
FB : FB-CBL,USA,Net Price,1,0.8,28
FB : FB-CBL,USA,Online Price,0,1,29
FB : FB-CBL,USA,Online Price,1,1,30
FB : FB-CPK,USA,EQP,0,0.8,31
FB : FB-CPK,USA,EQP,1,0.8,32
FB : FB-CPK,USA,Net Price,0,0.8,33
FB : FB-CPK,USA,Net Price,1,0.8,34
FB : FB-CPK,USA,Online Price,0,1,35
FB : FB-CPK,USA,Online Price,1,1,36
FB : FB-CSL,USA,EQP,0,0.8,37
FB : FB-CSL,USA,EQP,1,0.8,38
FB : FB-CSL,USA,Net Price,0,0.8,39
FB : FB-CSL,USA,Net Price,1,0.8,40
FB : FB-CSL,USA,Online Price,0,1,41
FB : FB-CSL,USA,Online Price,1,1,42
FB : FB-CW,USA,EQP,0,1,43
FB : FB-CW,USA,EQP,1,1,44
FB : FB-CW,USA,Net Price,0,1,45
FB : FB-CW,USA,Net Price,1,1,46
FB : FB-CW,USA,Online Price,0,1.25,47
FB : FB-CW,USA,Online Price,1,1.25,48
FB : FB-DBK,USA,EQP,0,0.8,49
FB : FB-DBK,USA,EQP,1,0.8,50
FB : FB-DBK,USA,Net Price,0,0.8,51
FB : FB-DBK,USA,Net Price,1,0.8,52
FB : FB-DBK,USA,Online Price,0,1,53
