sku,currency,price_level,min_quantity,unit_price,id
HCM : HCM-EDC,USA,EQP,0,1.5,1
HCM : HCM-EDC,USA,EQP,48,1.5,2
HCM : HCM-EDC,USA,Net Price,0,1.5,3
HCM : HCM-EDC,USA,Net Price,48,1.5,4
HCM : HCM-EDC,USA,Online Price,0,1.875,5
HCM : HCM-EDC,USA,Online Price,48,1.875,6
HCM : HCM-EDC,USA,Sample Price,0,1.5,7
HCM : HCM-EDC,USA,Sample Price,48,1.5,8
HCM : HCM-EDM,USA,EQP,0,1.5,9
HCM : HCM-EDM,USA,EQP,48,1.5,10
HCM : HCM-EDM,USA,Net Price,0,1.5,11
HCM : HCM-EDM,USA,Net Price,48,1.5,12
HCM : HCM-EDM,USA,Online Price,0,1.875,13
HCM : HCM-EDM,USA,Online Price,48,1.875,14
HCM : HCM-EDM,USA,Sample Price,0,1.5,15
HCM : HCM-EDM,USA,Sample Price,48,1.5,16
HCM : HCM-SM,USA,EQP,0,1.5,17
HCM : HCM-SM,USA,EQP,48,1.5,18
HCM : HCM-SM,USA,Net Price,0,1.5,19
HCM : HCM-SM,USA,Net Price,48,1.5,20
HCM : HCM-SM,USA,Online Price,0,1.875,21
HCM : HCM-SM,USA,Online Price,48,1.875,22
HCM : HCM-SM,USA,Sample Price,0,1.5,23
HCM : HCM-SM,USA,Sample Price,48,1.5,24
HCM : HCM-CTR,USA,EQP,0,1.5,25
HCM : HCM-CTR,USA,EQP,48,1.5,26
HCM : HCM-CTR,USA,Net Price,0,1.5,27
HCM : HCM-CTR,USA,Net Price,48,1.5,28
HCM : HCM-CTR,USA,Online Price,0,1.875,29
HCM : HCM-CTR,USA,Online Price,48,1.875,30
HCM : HCM-CTR,USA,Sample Price,0,1.5,31
HCM : HCM-CTR,USA,Sample Price,48,1.5,32
HCM : HCM-HDCC,USA,EQP,0,1.5,33
HCM : HCM-HDCC,USA,EQP,48,1.5,34
HCM : HCM-HDCC,USA,Net Price,0,1.5,35
HCM : HCM-HDCC,USA,Net Price,48,1.5,36
HCM : HCM-HDCC,USA,Online Price,0,1.875,37
HCM : HCM-HDCC,USA,Online Price,48,1.875,38
HCM : HCM-HDCC,USA,Sample Price,0,1.5,39
HCM : HCM-HDCC,USA,Sample Price,48,1.5,40
HCM : HCM-CCC,USA,EQP,0,1.5,41
HCM : HCM-CCC,USA,EQP,48,1.5,42
HCM : HCM-CCC,USA,Net Price,0,1.5,43
HCM : HCM-CCC,USA,Net Price,48,1.5,44
HCM : HCM-CCC,USA,Online Price,0,1.875,45
HCM : HCM-CCC,USA,Online Price,48,1.875,46
HCM : HCM-CCC,USA,Sample Price,0,1.5,47
HCM : HCM-CCC,USA,Sample Price,48,1.5,48
HCM : HCM-SNOW,USA,EQP,0,1.5,49
HCM : HCM-SNOW,USA,EQP,48,1.5,50
HCM : HCM-SNOW,USA,Net Price,0,1.5,51
HCM : HCM-SNOW,USA,Net Price,48,1.5,52
HCM : HCM-SNOW,USA,Online Price,0,1.875,53
HCM : HCM-SNOW,USA,Online Price,48,1.875,54
HCM : HCM-SNOW,USA,Sample Price,0,1.5,55
HCM : HCM-SNOW,USA,Sample Price,48,1.5,56
HCM : HCM-NMDL,USA,EQP,0,1.5,57
HCM : HCM-NMDL,USA,EQP,48,1.5,58
HCM : HCM-NMDL,USA,Net Price,0,1.5,59
HCM : HCM-NMDL,USA,Net Price,48,1.5,60
HCM : HCM-NMDL,USA,Online Price,0,1.875,61
HCM : HCM-NMDL,USA,Online Price,48,1.875,62
HCM : HCM-NMDL,USA,Sample Price,0,1.5,63
HCM : HCM-NMDL,USA,Sample Price,48,1.5,64
HCM : HCM-WTR,USA,EQP,0,1.5,65
HCM : HCM-WTR,USA,EQP,48,1.5,66
HCM : HCM-WTR,USA,Net Price,0,1.5,67
HCM : HCM-WTR,USA,Net Price,48,1.5,68
HCM : HCM-WTR,USA,Online Price,0,1.875,69
HCM : HCM-WTR,USA,Online Price,48,1.875,70
HCM : HCM-WTR,USA,Sample Price,0,1.5,71
HCM : HCM-WTR,USA,Sample Price,48,1.5,72
HCM : HCM-SB,USA,EQP,0,1.5,73
HCM : HCM-SB,USA,EQP,48,1.5,74
HCM : HCM-SB,USA,Net Price,0,1.5,75
HCM : HCM-SB,USA,Net Price,48,1.5,76
HCM : HCM-SB,USA,Online Price,0,1.875,77
HCM : HCM-SB,USA,Online Price,48,1.875,78
HCM : HCM-SB,USA,Sample Price,0,1.5,79
HCM : HCM-SB,USA,Sample Price,48,1.5,80
HCM : HCM-GDP,USA,EQP,0,1.5,81
HCM : HCM-GDP,USA,EQP,48,1.5,82
HCM : HCM-GDP,USA,Net Price,0,1.5,83
HCM : HCM-GDP,USA,Net Price,48,1.5,84
HCM : HCM-GDP,USA,Online Price,0,1.875,85
HCM : HCM-GDP,USA,Online Price,48,1.875,86
HCM : HCM-GDP,USA,Sample Price,0,1.5,87
