id,name,hex_code,r,g,b
1,100,#f4ed7c,,,
2,101,#f4ed47,,,
1397,10146,#C56926,197,105,38
3,102,#f9e814,,,
4,103,#c6ad0f,,,
5,104,#ad9b0c,,,
6,105,#82750f,,,
7,106,#f7e859,,,
8,107,#f9e526,,,
9,108,#f9dd16,,,
10,109,#f9d616,,,
11,110,#d8b511,,,
12,111,#aa930a,,,
13,112,#99840a,,,
14,113,#f9e55b,,,
15,114,#f9e24c,,,
16,115,#f9e04c,,,
17,116,#fcd116,,,
18,117,#c6a00c,,,
19,118,#aa8e0a,,,
20,119,#897719,,,
21,120,#f9e27f,,,
22,1205,#f7e8aa,,,
23,121,#f9e070,,,
24,1215,#f9e08c,,,
25,122,#fcd856,,,
26,1225,#ffcc49,,,
1382,123,#FFC72C,255,199,44
28,1235,#fcb514,,,
29,124,#e0aa0f,,,
30,1245,#bf910c,,,
31,125,#b58c0a,,,
32,1255,#a37f14,,,
33,126,#a38205,,,
34,1265,#7c6316,,,
35,127,#f4e287,,,
36,128,#f4db60,,,
37,129,#f2d13d,,,
38,130,#eaaf0f,,,
39,131,#c6930a,,,
40,132,#9e7c0a,,,
41,133,#705b0a,,,
42,134,#ffd87f,,,
43,1345,#ffd691,,,
44,135,#fcc963,,,
45,1355,#fcce87,,,
46,136,#fcbf49,,,
47,1365,#fcba5e,,,
48,137,#fca311,,,
49,1375,#f99b0c,,,
50,138,#d88c02,,,
51,1385,#cc7a02,,,
52,139,#af7505,,,
53,1395,#996007,,,
54,140,#7a5b11,,,
55,1405,#6b4714,,,
56,141,#f2ce68,,,
57,142,#f2bf49,,,
58,143,#efb22d,,,
59,144,#e28c05,,,
60,145,#c67f07,,,
61,146,#9e6b05,,,
62,147,#725e26,,,
63,148,#ffd69b,,,
64,1485,#ffb777,,,
65,149,#fccc93,,,
66,1495,#ff993f,,,
67,150,#fcad56,,,
68,1505,#f47c00,,,
69,151,#f77f00,,,
70,152,#dd7500,,,
71,1525,#b55400,,,
72,153,#bc6d0a,,,
73,1535,#8c4400,,,
74,154,#995905,,,
75,1545,#4c280f,,,
76,155,#f4dbaa,,,
77,1555,#f9bf9e,,,
78,156,#f2c68c,,,
79,1565,#fca577,,,
80,157,#eda04f,,,
81,1575,#fc8744,,,
82,158,#e87511,,,
83,1585,#f96b07,,,
84,159,#c66005,,,
85,1595,#d15b05,,,
86,160,#9e540a,,,
87,1605,#a04f11,,,
88,161,#633a11,,,
89,1615,#843f0f,,,
90,162,#f9c6aa,,,
91,1625,#f9a58c,,,
92,163,#fc9e70,,,
93,1635,#f98e6d,,,
94,164,#fc7f3f,,,
95,1645,#f97242,,,
96,165,#f96302,,,
97,1655,#f95602,,,
98,166,#dd5900,,,
99,1665,#dd4f05,,,
100,167,#bc4f07,,,
101,1675,#a53f0f,,,
102,168,#6d3011,,,
103,1685,#843511,,,
104,169,#f9baaa,,,
105,170,#f98972,,,
106,171,#f9603a,,,
107,172,#f74902,,,
108,173,#d14414,,,
109,174,#933311,,,
110,175,#6d3321,,,
111,176,#f9afad,,,
112,1765,#f99ea3,,,
113,1767,#f9b2b7,,,
114,177,#f9827f,,,
115,1775,#f9848e,,,
116,1777,#fc6675,,,
117,178,#f95e59,,,
118,1785,#fc4f59,,,
119,1787,#f43f4f,,,
120,1788,#ef2b2d,,,
121,179,#e23d28,,,
122,1795,#d62828,,,
123,1797,#cc2d30,,,
124,180,#c13828,,,
125,1805,#af2626,,,
126,1807,#a03033,,,
127,181,#7c2d23,,,
128,1810,#7c211e,,,
129,1817,#5b2d28,,,
130,182,#f9bfc1,,,
131,183,#fc8c99,,,
132,184,#fc5e72,,,
133,185,#e8112d,,,
134,186,#ce1126,,,
135,187,#af1e2d,,,
136,188,#7c2128,,,
137,189,#ffa3b2,,,
